Page,Preview,Voice,Voice Score,Tone,Tone Score,Form,Form Score
1,﻿I sit down alone at the appointed table and take up my pen to give all whom it may concern an exact...,omniscient,0.347,suspenseful,0.658,narrative,0.444
2,I plunged for the last time. The few remaining figures and letters swam as they came up to me. Then ...,3rd person,0.318,suspenseful,0.371,narrative,0.316
3,"At my meeting with Clement yesterday, he had been quite specific : less than twenty thousand yards a...",1st person,0.322,regretful,0.481,narrative,0.29
4,"And I really think I would have preferred the Maestro Jimson’s title, now that this piled abominatio...",1st person,0.332,suspenseful,0.484,narrative,0.298
5,I hated my eye for being caught by what didn’t concern me : the powerful grip of the new young man. ...,omniscient,0.301,regretful,0.579,narrative,0.263
6,I considered that venerable whose winter Achilles thought to take from the lips of Cressida. Why not...,3rd person,0.348,suspenseful,0.371,aphorism,0.287
7,I had gone to sleep the night before after rereading Typhoon. It had always struck me as a remarkabl...,3rd person,0.343,suspenseful,0.609,narrative,0.352
8,Could I be developing a green-eyed streak? I investigated the body before me with the aid of a power...,3rd person,0.354,suspenseful,0.439,narrative,0.328
9,"The sound of the bell, as of a boding gnat, just came to me. The finger causing it was, I knew, the ...",1st person,0.432,suspenseful,0.669,narrative,0.333
10,"Then came Hyacinth’s day. He laughed when he remembered that, as we were walking round the garden, a...",3rd person,0.351,suspenseful,0.343,narrative,0.33
11,"If Henry had been there he could have told me what to do. His great voice, tuned and broken at the c...",3rd person,0.321,suspenseful,0.335,narrative,0.261
12,I rubbed my eyes and massaged my temples with pronated finger-tips. Then I fumbled two aspirin table...,1st person,0.273,suspenseful,0.383,aphorism,0.334
13,"Rintrah, where has thou hid thy bride?         Weeps she in desert shades?         Alas! my Rintrah,...",3rd person,0.307,suspenseful,0.377,narrative,0.342
14,"My ears were becoming attuned, and for the first time I heard clearly what the woman was saying : “A...",3rd person,0.28,suspenseful,0.345,narrative,0.34
15,"Now, I considered, in my dear Lyons it would be coming of age hours, and I wondered if they would ev...",3rd person,0.369,suspenseful,0.611,narrative,0.418
16,"One’s eyebrows were one’s own, I always thought. Though I did remember a case---Aunt Mary’s, to be p...",3rd person,0.32,suspenseful,0.394,aphorism,0.263
17,"I am conveniently situated, with the Moon on the one hand and the Dawn on the other. Conveniently si...",1st person,0.358,suspenseful,0.547,narrative,0.269
18,"I discussed certain passages with the man, and he was too guardedly ignorant in his contributions to...",1st person,0.314,suspenseful,0.745,aphorism,0.638
19,"Yesterday he got in another of his own kind, who agreed she’d done it all herself. He twiddled the p...",3rd person,0.287,regretful,0.454,narrative,0.283
20,"The best I had done seemed to me blank and suspicious, my great thoughts as I supposed them, were th...",3rd person,0.346,suspenseful,0.455,aphorism,0.453
21,"To reckon with Henry! That was never easy. Just beyond the laurels, I turned sharply and there he wa...",3rd person,0.329,suspenseful,0.556,aphorism,0.284
22,"He always talked to me about murder, when we were alone together. And that day he told me it was the...",3rd person,0.341,suspenseful,0.461,narrative,0.289
23,I hate seeing things like this in the paper. Bill to Solve the Traffic Problem. Bill to improve the ...,1st person,0.389,regretful,0.545,aphorism,0.3
24,"Of Cathleen, the daughter of Houlihan.   Next day I saw that my suspicions of Caroline had been well...",3rd person,0.392,suspenseful,0.336,narrative,0.349
25,"After I might just as easily have been a literary bloke, like Jeremy Taylor or Eugene Sue. I told my...",3rd person,0.311,suspenseful,0.396,confession,0.316
26,"The girl had left Henry by this time, thank God. She was an obvious whey-face. She didn’t seem capab...",3rd person,0.293,witty,0.387,narrative,0.301
27,"I had seen, day after day, every sunlit or night obscured detail of the funny old house I had visite...",omniscient,0.348,suspenseful,0.593,narrative,0.338
28,I found myself by that one of the windows which overlooked the stone broach spire---a rarity in Kent...,1st person,0.363,suspenseful,0.552,narrative,0.265
29,"It had always been my habit to rise with the lark, if there was one going up at about nine. A confir...",1st person,0.376,suspenseful,0.613,narrative,0.341
30,I see that old dandy has purchased Cape Jasmine. Your gardenia is difficult at a distance to determi...,1st person,0.306,regretful,0.346,aphorism,0.313
31,"The others did not seem similarly impressed. Phrases of this and that came to half my ear, duet by r...",omniscient,0.345,suspenseful,0.503,narrative,0.261
32,I was a little consoled for the weeping weather by the fact that Gainsborough had gone out to-day. A...,3rd person,0.292,suspenseful,0.384,narrative,0.259
33,He was picking round among all she had left behind and found a box with his name on it. Also it said...,3rd person,0.316,regretful,0.755,narrative,0.284
34,"It was a petty employ for one of my reputation ; you would not hear, I felt, much more of it. I hope...",1st person,0.288,suspenseful,0.385,narrative,0.282
35,"For this time being, Henry was drawing towards a close. I was not sorry. The police were after him i...",3rd person,0.381,suspenseful,0.496,narrative,0.399
36,"Strange that old Calabar, as I called him, should fail me ; yet on the morning after I had introduce...",3rd person,0.327,suspenseful,0.589,narrative,0.358
37,"Death’s clumsy fingered, that was the really frightful thing : I had seen them, beneath a debonair s...",3rd person,0.339,suspenseful,0.542,narrative,0.335
38,"I was feeling better already, and was glad that a memory, true though dim, had led me to the place. ...",3rd person,0.274,suspenseful,0.418,narrative,0.325
39,"She said it didn’t matter what they had done, because she was still an M.D., and she’d got another o...",3rd person,0.279,regretful,0.614,narrative,0.274
40,"What chemistry! That the winds are really not infectious. Now that I was approaching journey’s end, ...",3rd person,0.263,suspenseful,0.543,narrative,0.308
41,"And then with horrid clearness I had seen a woman---not actually, if I could trust myself, there ; b...",1st person,0.402,regretful,0.452,confession,0.246
42,"Just broken to twine round they harp-strings, as if                 no wild beat         Were now ra...",3rd person,0.391,suspenseful,0.566,narrative,0.309
43,This is good. She accepts Lover’s Delight from me. She has spoken very little ; but she urges me to ...,dialogue,0.412,suspenseful,0.407,dialogue,0.324
44,"I sometimes wish, and I wished then, that I had the gift of telling, or at least of following, a sto...",3rd person,0.311,suspenseful,0.467,narrative,0.599
45,"It was when that half Pole, half Frenchman, and usually up the first half, that self-styled drunken ...",1st person,0.658,suspenseful,0.538,aphorism,0.293
46,"In one way, of course, I was glad they were married. I had always been rather a stickler for purity ...",dialogue,0.332,suspenseful,0.396,dialogue,0.316
47,"Babs now moves across the vision, crowned with two straight downfalls, as it were, of copper upon he...",omniscient,0.444,suspenseful,0.534,confession,0.515
48,"I had always thought that Tate essentially meant sugar. This I liked almost next to anything, though...",dialogue,0.443,suspenseful,0.282,dialogue,0.374
49,"I always feel a bit dazed on these occasions, and was so then. But it was pleasant to collect onesel...",omniscient,0.283,philosophical,0.519,narrative,0.288
50,"The swallow, the bright Homonoea.    I wondered if I should succeed in hurting the girl. But think o...",omniscient,0.461,suspenseful,0.649,narrative,0.322
51,"As I was not staying, but only passing through, I raised my hat to the eleven that played All Englan...",dialogue,0.272,suspenseful,0.345,aphorism,0.289
52,The cardinal was acquitted to-day of all complicity in the affair of the Queen’s diamond necklace. H...,3rd person,0.346,suspenseful,0.526,narrative,0.363
53,"So far the mind had been ambling, if I may dare the expression ; moving forward ungainly, as if by o...",3rd person,0.374,suspenseful,0.661,narrative,0.321
54,"I was feeling about as good as man could feel that day. Everything horticultural, in the awful and l...",3rd person,0.326,suspenseful,0.357,confession,0.326
55,"The picture of the Old Mill at Bramley, with its medlar tree overhanging the water, its octagonal br...",1st person,0.408,suspenseful,0.372,narrative,0.259
56,"It was just when the girl from the Asolo silk mills contended that morning was. There was something,...",omniscient,0.287,suspenseful,0.53,narrative,0.327
57,It seemed from what I heard that Felton’s meat had been delivered at Brookesley for the first time t...,3rd person,0.3,regretful,0.699,narrative,0.261
58,"Considering it was my name month, I wasn’t having too much luck. Henry, though a bit on the spectacu...",3rd person,0.373,suspenseful,0.668,aphorism,0.289
59,What was it I held in my fingers? Looked at in one way it could just be a kea. I would give the bird...,omniscient,0.309,suspenseful,0.505,confession,0.473
60,I had sufficient knowledge to realise that I had succeeded. I ordered Charles to spare no expense in...,omniscient,0.325,suspenseful,0.439,narrative,0.339
61,"I had always been proud of my namesake, the Great Lexicographer, as we, not unnaturally, called him ...",3rd person,0.396,regretful,0.657,aphorism,0.321
62,"What should such a man need with such a companion, I asked myself. And then I thought of Jim’s uncle...",3rd person,0.307,suspenseful,0.631,aphorism,0.276
63,"I cannot help, even with this supreme distraction, thinking of my Babbie’s---dare I say my Babbie’s-...",omniscient,0.281,witty,0.458,aphorism,0.397
64,Needless to say I didn’t know that that was the last day. Afterwards I found it terrible to look bac...,1st person,0.322,regretful,0.788,narrative,0.365
65,"I started to read Hardy’s exquisite production, and every muscle of my brain was enthralled until I ...",omniscient,0.61,witty,0.53,confession,0.324
66,"It was neither the sheerest hell nor uttermost heaven thus to affront the dead ; it was rather, sure...",1st person,0.339,suspenseful,0.709,narrative,0.272
67,"the darker works of Beardsley and Felicien Rops, and ringing with the gloat curses of the Head, as w...",3rd person,0.401,suspenseful,0.484,narrative,0.354
68,"Out cascaded the darling young. It was no tragedy ; that was, no tragedy comparable with the fire he...",3rd person,0.344,regretful,0.659,narrative,0.296
69,I came out of my waking dream with temples moist and tongue most damnably dry. I had to believe myse...,3rd person,0.297,regretful,0.595,confession,0.268
70,It flashed through my mind that the place between Eros and the Queen’s Hall had horribly changed sin...,3rd person,0.3,suspenseful,0.673,narrative,0.244
71,"But next day that religious fellow’s head drapery, if I might thus unscientifically express myself, ...",3rd person,0.335,suspenseful,0.46,narrative,0.322
