Page,Preview,Entities,Cluster
1,﻿I sit down alone at the appointed table and take up my pen to give all whom it may concern an exact...,"['Amsterdam', 'Casy Ferris', 'St. Lazarus-in-the-Chine']",1
2,I plunged for the last time. The few remaining figures and letters swam as they came up to me. Then ...,"['London', 'Henry']",4
3,"At my meeting with Clement yesterday, he had been quite specific : less than twenty thousand yards a...","['Clement', 'Austin Freeman', 'Oppenheim', 'Mary Roberts Rinehart', 'Hodder']",4
4,"And I really think I would have preferred the Maestro Jimson’s title, now that this piled abominatio...","['the Maestro Jimson’s', 'Roland Mowthalorn', 'Annie', 'Roland', 'Weedon', 'Henry', 'Lesurques', 'Le Cirque']",3
5,I hated my eye for being caught by what didn’t concern me : the powerful grip of the new young man. ...,"['Thomas Hardy', 'Buddhistic', 'Browning', 'Bisto', 'Henry', '’s Peg', 'Evelyn Hope', 'Hopes', 'Cerebos', 'Cerebos', 'Cerebos', 'Henry']",3
6,I considered that venerable whose winter Achilles thought to take from the lips of Cressida. Why not...,"['Achilles', 'Cressida', 'Electric Febrifuge', 'Gay']",2
7,I had gone to sleep the night before after rereading Typhoon. It had always struck me as a remarkabl...,"['Charles Victor Hugo Renard-Beinsky', 'Jew', 'Conrad', 'Youth', 'Search of a Father', 'Conrad', 'Poles']",3
8,Could I be developing a green-eyed streak? I investigated the body before me with the aid of a power...,"['Guido', 'Kilmarnock', 'Belmerino', 'Hall']",3
9,"The sound of the bell, as of a boding gnat, just came to me. The finger causing it was, I knew, the ...","['n’t', 'Charles Day', 'Peebles University', 'Knight']",3
10,"Then came Hyacinth’s day. He laughed when he remembered that, as we were walking round the garden, a...","['Boots', 'Egyptian', 'Gourdoulis', 'Etam']",3
11,"If Henry had been there he could have told me what to do. His great voice, tuned and broken at the c...","['Henry', 'Orchard', 'Ravager', 'I. Henry', 'Ireland', 'de Quincey', 'Ireland', 'Dean']",3
12,I rubbed my eyes and massaged my temples with pronated finger-tips. Then I fumbled two aspirin table...,"['Noel Coward’s', 'Charles’s Head', 'Atimetus']",1
13,"Rintrah, where has thou hid thy bride?         Weeps she in desert shades?         Alas! my Rintrah,...","['Rintrah', 'Rintrah', 'Newdigate', 'Henry']",4
14,"My ears were becoming attuned, and for the first time I heard clearly what the woman was saying : “A...","['Henry', 'Janetta Sheringham', 'John']",5
15,"Now, I considered, in my dear Lyons it would be coming of age hours, and I wondered if they would ev...","['B.B.C.', 'Bart', 'England', 'John Hewit', 'Sarah Drew', 'Alexander', 'Pope', 'Sarah']",5
16,"One’s eyebrows were one’s own, I always thought. Though I did remember a case---Aunt Mary’s, to be p...","['the Highgate Empire', 'Russian', 'The Highgate Empire', 'Wilkie Bard', 'Lauder', 'Bill', 'Henry']",1
17,"I am conveniently situated, with the Moon on the one hand and the Dawn on the other. Conveniently si...","['Moon', 'Dawn', 'Sawnie', 'Moon', 'Lapsang', 'Lapsang', 'Grace', 'Kate Somerset']",4
18,"I discussed certain passages with the man, and he was too guardedly ignorant in his contributions to...",[],1
19,"Yesterday he got in another of his own kind, who agreed she’d done it all herself. He twiddled the p...","['Hall', 'McCrimmons', 'Wotton', 'Falkland', 'William Sydney Porter']",3
20,"The best I had done seemed to me blank and suspicious, my great thoughts as I supposed them, were th...","['Ben', 'Will', 'Annandale', 'Mole', 'England', 'EYT']",4
21,"To reckon with Henry! That was never easy. Just beyond the laurels, I turned sharply and there he wa...","['Henry', 'Calabar Bean', 'Adriatic', 'Illyrian', 'Matthew', 'Mark', 'Luke', 'John', 'Mark Twain', 'Henry', 'Ponce de Leon']",4
22,"He always talked to me about murder, when we were alone together. And that day he told me it was the...","['John', 'Cornelius', 'Dort', 'Jasmine', 'Tusitala', 'Flora', 'Flora', 'Flora']",3
23,I hate seeing things like this in the paper. Bill to Solve the Traffic Problem. Bill to improve the ...,"['Bill', 'Solve the Traffic Problem', 'Bill', 'Oscar', 'Pure Francis Thompson', 'Fidelia', 'Faustina Flora Blackwood', 'Ebenezer Blackwood', 'the Left Luggage Office', 'Alexander']",5
24,"Of Cathleen, the daughter of Houlihan.   Next day I saw that my suspicions of Caroline had been well...","['Cathleen', 'Houlihan', 'Caroline', 'Chinese', 'Gianaclis', 'Giulio de Medici', 'Cynthia', 'Ahkoond of Swat']",4
25,"After I might just as easily have been a literary bloke, like Jeremy Taylor or Eugene Sue. I told my...","['Jeremy Taylor', 'Eugene Sue', 'Didlittle']",3
26,"The girl had left Henry by this time, thank God. She was an obvious whey-face. She didn’t seem capab...","['Henry', 'Hodge', 'Ben Wade', 'hitherto']",2
27,"I had seen, day after day, every sunlit or night obscured detail of the funny old house I had visite...","['Death', 'Severn', 'Peaberry Mysore', 'Clem']",2
28,I found myself by that one of the windows which overlooked the stone broach spire---a rarity in Kent...,"['Kent', 'Pluckley']",3
29,"It had always been my habit to rise with the lark, if there was one going up at about nine. A confir...","['Flora', 'Flora', 'West African']",3
30,I see that old dandy has purchased Cape Jasmine. Your gardenia is difficult at a distance to determi...,"['gardenia', 'florida', 'Gardener’s Garters', 'Phalaris', 'Cave', 'Dame Quickly', 'James', 'James', 'Lo', 'De Mauves', 'Gressie', 'American', 'Quebec', 'Watson']",1
31,"The others did not seem similarly impressed. Phrases of this and that came to half my ear, duet by r...","['duet', 'Paris', 'Henry', 'Henry']",4
32,I was a little consoled for the weeping weather by the fact that Gainsborough had gone out to-day. A...,"['Gainsborough', 'Henry', 'Henry', 'Earl', 'Hadn’t Chesterton']",3
33,He was picking round among all she had left behind and found a box with his name on it. Also it said...,['Gourdoulis'],3
34,"It was a petty employ for one of my reputation ; you would not hear, I felt, much more of it. I hope...",[],1
35,"For this time being, Henry was drawing towards a close. I was not sorry. The police were after him i...","['Henry', 'Wellington Crisp', 'King', 'Richard', 'Thomas', 'I.']",3
36,"Strange that old Calabar, as I called him, should fail me ; yet on the morning after I had introduce...","['Calabar', 'Mavis Kitchener', 'Bengal', 'Henry']",3
37,"Death’s clumsy fingered, that was the really frightful thing : I had seen them, beneath a debonair s...","['Hotspur', 'Alexander', 'the Paulo Post Avorticists', 'Malta', 'Ronald Firbank']",3
38,"I was feeling better already, and was glad that a memory, true though dim, had led me to the place. ...","['Sonia Gordon’s', 'Sonia Gordon', 'Sonia', 'Marat', 'Charlotte Brontë']",0
